local_datetime,settlementPeriod,quantity
2021-01-01 00:00:00+00:00,1,32850
2021-01-01 00:30:00+00:00,2,33109
2021-01-01 01:00:00+00:00,3,32383
2021-01-01 01:30:00+00:00,4,31335
2021-01-01 02:00:00+00:00,5,30048
2021-01-01 02:30:00+00:00,6,29160
2021-01-01 03:00:00+00:00,7,27924
2021-01-01 03:30:00+00:00,8,27360
2021-01-01 04:00:00+00:00,9,26865
2021-01-01 04:30:00+00:00,10,26516
2021-01-01 05:00:00+00:00,11,26549
2021-01-01 05:30:00+00:00,12,26610
2021-01-01 06:00:00+00:00,13,27542
2021-01-01 06:30:00+00:00,14,27988
2021-01-01 07:00:00+00:00,15,29278
2021-01-01 07:30:00+00:00,16,29597
2021-01-01 08:00:00+00:00,17,30243
2021-01-01 08:30:00+00:00,18,31085
2021-01-01 09:00:00+00:00,19,32900
2021-01-01 09:30:00+00:00,20,34404
2021-01-01 10:00:00+00:00,21,35877
2021-01-01 10:30:00+00:00,22,37035
2021-01-01 11:00:00+00:00,23,38243
2021-01-01 11:30:00+00:00,24,39018
2021-01-01 12:00:00+00:00,25,39984
2021-01-01 12:30:00+00:00,26,40477
2021-01-01 13:00:00+00:00,27,40682
2021-01-01 13:30:00+00:00,28,40536
2021-01-01 14:00:00+00:00,29,40356
2021-01-01 14:30:00+00:00,30,40143
2021-01-01 15:00:00+00:00,31,40097
2021-01-01 15:30:00+00:00,32,40624
2021-01-01 16:00:00+00:00,33,41925
2021-01-01 16:30:00+00:00,34,43909
2021-01-01 17:00:00+00:00,35,44257
2021-01-01 17:30:00+00:00,36,43967
2021-01-01 18:00:00+00:00,37,42981
2021-01-01 18:30:00+00:00,38,41650
2021-01-01 19:00:00+00:00,39,40472
2021-01-01 19:30:00+00:00,40,39276
2021-01-01 20:00:00+00:00,41,38237
2021-01-01 20:30:00+00:00,42,37158
2021-01-01 21:00:00+00:00,43,35711
2021-01-01 21:30:00+00:00,44,34608
2021-01-01 22:00:00+00:00,45,33557
2021-01-01 22:30:00+00:00,46,32525
2021-01-01 23:00:00+00:00,47,30881
2021-01-01 23:30:00+00:00,48,29745
2021-01-02 00:00:00+00:00,1,29564
2021-01-02 00:30:00+00:00,2,30008
2021-01-02 01:00:00+00:00,3,29431
2021-01-02 01:30:00+00:00,4,28721
2021-01-02 02:00:00+00:00,5,27896
2021-01-02 02:30:00+00:00,6,27395
2021-01-02 03:00:00+00:00,7,26852
2021-01-02 03:30:00+00:00,8,26395
2021-01-02 04:00:00+00:00,9,25742
2021-01-02 04:30:00+00:00,10,25519
2021-01-02 05:00:00+00:00,11,25964
2021-01-02 05:30:00+00:00,12,26177
2021-01-02 06:00:00+00:00,13,27472
2021-01-02 06:30:00+00:00,14,28621
2021-01-02 07:00:00+00:00,15,30109
2021-01-02 07:30:00+00:00,16,30768
2021-01-02 08:00:00+00:00,17,32030
2021-01-02 08:30:00+00:00,18,33602
2021-01-02 09:00:00+00:00,19,35350
2021-01-02 09:30:00+00:00,20,36746
2021-01-02 10:00:00+00:00,21,37575
2021-01-02 10:30:00+00:00,22,38290
2021-01-02 11:00:00+00:00,23,38610
2021-01-02 11:30:00+00:00,24,39333
2021-01-02 12:00:00+00:00,25,40295
2021-01-02 12:30:00+00:00,26,40571
2021-01-02 13:00:00+00:00,27,40945
2021-01-02 13:30:00+00:00,28,40566
2021-01-02 14:00:00+00:00,29,40463
2021-01-02 14:30:00+00:00,30,40517
2021-01-02 15:00:00+00:00,31,40414
2021-01-02 15:30:00+00:00,32,40727
2021-01-02 16:00:00+00:00,33,42581
2021-01-02 16:30:00+00:00,34,44788
2021-01-02 17:00:00+00:00,35,45495
2021-01-02 17:30:00+00:00,36,45423
2021-01-02 18:00:00+00:00,37,44633
2021-01-02 18:30:00+00:00,38,43684
2021-01-02 19:00:00+00:00,39,42827
2021-01-02 19:30:00+00:00,40,41299
2021-01-02 20:00:00+00:00,41,40170
2021-01-02 20:30:00+00:00,42,38938
2021-01-02 21:00:00+00:00,43,37563
2021-01-02 21:30:00+00:00,44,36252
2021-01-02 22:00:00+00:00,45,34829
2021-01-02 22:30:00+00:00,46,33441
2021-01-02 23:00:00+00:00,47,31810
2021-01-02 23:30:00+00:00,48,31001
2021-01-03 00:00:00+00:00,1,30771
2021-01-03 00:30:00+00:00,2,30938
2021-01-03 01:00:00+00:00,3,30581
2021-01-03 01:30:00+00:00,4,29866
2021-01-03 02:00:00+00:00,5,29316
2021-01-03 02:30:00+00:00,6,28798
2021-01-03 03:00:00+00:00,7,27990
2021-01-03 03:30:00+00:00,8,27130
2021-01-03 04:00:00+00:00,9,26006
2021-01-03 04:30:00+00:00,10,25667
2021-01-03 05:00:00+00:00,11,25580
2021-01-03 05:30:00+00:00,12,25432
2021-01-03 06:00:00+00:00,13,26789
2021-01-03 06:30:00+00:00,14,27311
2021-01-03 07:00:00+00:00,15,28218
2021-01-03 07:30:00+00:00,16,28830
2021-01-03 08:00:00+00:00,17,30790
2021-01-03 08:30:00+00:00,18,32723
2021-01-03 09:00:00+00:00,19,34504
2021-01-03 09:30:00+00:00,20,36168
2021-01-03 10:00:00+00:00,21,37539
2021-01-03 10:30:00+00:00,22,38680
2021-01-03 11:00:00+00:00,23,39430
2021-01-03 11:30:00+00:00,24,39914
2021-01-03 12:00:00+00:00,25,40733
2021-01-03 12:30:00+00:00,26,41238
2021-01-03 13:00:00+00:00,27,41154
2021-01-03 13:30:00+00:00,28,41075
2021-01-03 14:00:00+00:00,29,41025
2021-01-03 14:30:00+00:00,30,40902
2021-01-03 15:00:00+00:00,31,41474
2021-01-03 15:30:00+00:00,32,42314
2021-01-03 16:00:00+00:00,33,44465
2021-01-03 16:30:00+00:00,34,46406
2021-01-03 17:00:00+00:00,35,46967
2021-01-03 17:30:00+00:00,36,46732
2021-01-03 18:00:00+00:00,37,45741
