local_datetime,settlementPeriod,quantity
2020-01-01 00:00:00+00:00,1,24897
2020-01-01 00:30:00+00:00,2,24701
2020-01-01 01:00:00+00:00,3,24307
2020-01-01 01:30:00+00:00,4,23833
2020-01-01 02:00:00+00:00,5,23557
2020-01-01 02:30:00+00:00,6,23355
2020-01-01 03:00:00+00:00,7,23297
2020-01-01 03:30:00+00:00,8,23240
2020-01-01 04:00:00+00:00,9,23181
2020-01-01 04:30:00+00:00,10,23119
2020-01-01 05:00:00+00:00,11,23089
2020-01-01 05:30:00+00:00,12,23052
2020-01-01 06:00:00+00:00,13,23062
2020-01-01 06:30:00+00:00,14,23061
2020-01-01 07:00:00+00:00,15,22838
2020-01-01 07:30:00+00:00,16,22975
2020-01-01 08:00:00+00:00,17,23110
2020-01-01 08:30:00+00:00,18,23498
2020-01-01 09:00:00+00:00,19,25030
2020-01-01 09:30:00+00:00,20,26281
2020-01-01 10:00:00+00:00,21,27586
2020-01-01 10:30:00+00:00,22,28877
2020-01-01 11:00:00+00:00,23,29589
2020-01-01 11:30:00+00:00,24,30809
2020-01-01 12:00:00+00:00,25,31782
2020-01-01 12:30:00+00:00,26,31832
2020-01-01 13:00:00+00:00,27,31782
2020-01-01 13:30:00+00:00,28,31742
2020-01-01 14:00:00+00:00,29,31747
2020-01-01 14:30:00+00:00,30,31800
2020-01-01 15:00:00+00:00,31,31948
2020-01-01 15:30:00+00:00,32,32042
2020-01-01 16:00:00+00:00,33,32317
2020-01-01 16:30:00+00:00,34,32617
2020-01-01 17:00:00+00:00,35,32983
2020-01-01 17:30:00+00:00,36,33298
2020-01-01 18:00:00+00:00,37,33526
2020-01-01 18:30:00+00:00,38,33647
2020-01-01 19:00:00+00:00,39,32431
2020-01-01 19:30:00+00:00,40,31339
2020-01-01 20:00:00+00:00,41,30883
2020-01-01 20:30:00+00:00,42,30618
2020-01-01 21:00:00+00:00,43,29489
2020-01-01 21:30:00+00:00,44,28372
2020-01-01 22:00:00+00:00,45,28025
2020-01-01 22:30:00+00:00,46,27943
2020-01-01 23:00:00+00:00,47,26950
2020-01-01 23:30:00+00:00,48,26629
2020-01-02 00:00:00+00:00,1,24584
2020-01-02 00:30:00+00:00,2,24830
2020-01-02 01:00:00+00:00,3,25029
2020-01-02 01:30:00+00:00,4,25225
2020-01-02 02:00:00+00:00,5,25448
2020-01-02 02:30:00+00:00,6,25730
2020-01-02 03:00:00+00:00,7,25963
2020-01-02 03:30:00+00:00,8,26181
2020-01-02 04:00:00+00:00,9,26413
2020-01-02 04:30:00+00:00,10,26659
2020-01-02 05:00:00+00:00,11,27115
2020-01-02 05:30:00+00:00,12,27940
2020-01-02 06:00:00+00:00,13,29700
2020-01-02 06:30:00+00:00,14,33225
2020-01-02 07:00:00+00:00,15,36965
2020-01-02 07:30:00+00:00,16,37695
2020-01-02 08:00:00+00:00,17,38304
2020-01-02 08:30:00+00:00,18,38588
2020-01-02 09:00:00+00:00,19,39024
2020-01-02 09:30:00+00:00,20,39454
2020-01-02 10:00:00+00:00,21,39808
2020-01-02 10:30:00+00:00,22,40070
2020-01-02 11:00:00+00:00,23,40242
2020-01-02 11:30:00+00:00,24,40423
2020-01-02 12:00:00+00:00,25,40344
2020-01-02 12:30:00+00:00,26,40389
2020-01-02 13:00:00+00:00,27,40392
2020-01-02 13:30:00+00:00,28,40341
2020-01-02 14:00:00+00:00,29,40244
2020-01-02 14:30:00+00:00,30,40142
2020-01-02 15:00:00+00:00,31,40212
2020-01-02 15:30:00+00:00,32,40188
2020-01-02 16:00:00+00:00,33,40363
2020-01-02 16:30:00+00:00,34,40508
2020-01-02 17:00:00+00:00,35,40524
2020-01-02 17:30:00+00:00,36,40515
2020-01-02 18:00:00+00:00,37,40400
2020-01-02 18:30:00+00:00,38,39995
2020-01-02 19:00:00+00:00,39,38835
2020-01-02 19:30:00+00:00,40,37489
2020-01-02 20:00:00+00:00,41,36404
2020-01-02 20:30:00+00:00,42,35719
2020-01-02 21:00:00+00:00,43,34780
2020-01-02 21:30:00+00:00,44,34118
2020-01-02 22:00:00+00:00,45,33726
2020-01-02 22:30:00+00:00,46,32853
2020-01-02 23:00:00+00:00,47,31504
2020-01-02 23:30:00+00:00,48,31270
2020-01-03 00:00:00+00:00,1,27675
2020-01-03 00:30:00+00:00,2,27514
2020-01-03 01:00:00+00:00,3,27345
2020-01-03 01:30:00+00:00,4,27174
2020-01-03 02:00:00+00:00,5,26934
2020-01-03 02:30:00+00:00,6,26724
2020-01-03 03:00:00+00:00,7,26556
2020-01-03 03:30:00+00:00,8,26419
2020-01-03 04:00:00+00:00,9,26322
2020-01-03 04:30:00+00:00,10,26239
2020-01-03 05:00:00+00:00,11,26447
2020-01-03 05:30:00+00:00,12,26910
2020-01-03 06:00:00+00:00,13,28284
2020-01-03 06:30:00+00:00,14,30836
2020-01-03 07:00:00+00:00,15,34013
2020-01-03 07:30:00+00:00,16,35676
2020-01-03 08:00:00+00:00,17,36385
2020-01-03 08:30:00+00:00,18,36953
2020-01-03 09:00:00+00:00,19,37502
2020-01-03 09:30:00+00:00,20,38088
2020-01-03 10:00:00+00:00,21,38864
2020-01-03 10:30:00+00:00,22,39372
2020-01-03 11:00:00+00:00,23,39794
2020-01-03 11:30:00+00:00,24,40206
2020-01-03 12:00:00+00:00,25,40337
2020-01-03 12:30:00+00:00,26,40427
2020-01-03 13:00:00+00:00,27,40298
2020-01-03 13:30:00+00:00,28,40011
2020-01-03 14:00:00+00:00,29,39671
2020-01-03 14:30:00+00:00,30,39536
2020-01-03 15:00:00+00:00,31,39344
2020-01-03 15:30:00+00:00,32,39346
2020-01-03 16:00:00+00:00,33,40140
2020-01-03 16:30:00+00:00,34,40400
2020-01-03 17:00:00+00:00,35,40541
2020-01-03 17:30:00+00:00,36,40620
2020-01-03 18:00:00+00:00,37,40683
2020-01-03 18:30:00+00:00,38,40722
2020-01-03 19:00:00+00:00,39,39578
2020-01-03 19:30:00+00:00,40,37993
2020-01-03 20:00:00+00:00,41,36614
2020-01-03 20:30:00+00:00,42,35797
2020-01-03 21:00:00+00:00,43,35123
2020-01-03 21:30:00+00:00,44,34571
2020-01-03 22:00:00+00:00,45,33298
2020-01-03 22:30:00+00:00,46,31730
2020-01-03 23:00:00+00:00,47,30991
2020-01-03 23:30:00+00:00,48,29812
2020-01-04 00:00:00+00:00,1,28624
2020-01-04 00:30:00+00:00,2,28622
2020-01-04 01:00:00+00:00,3,28593
2020-01-04 01:30:00+00:00,4,28550
2020-01-04 02:00:00+00:00,5,28500
2020-01-04 02:30:00+00:00,6,28492
2020-01-04 03:00:00+00:00,7,28396
2020-01-04 03:30:00+00:00,8,28250
2020-01-04 04:00:00+00:00,9,28112
2020-01-04 04:30:00+00:00,10,28005
2020-01-04 05:00:00+00:00,11,27835
2020-01-04 05:30:00+00:00,12,27651
2020-01-04 06:00:00+00:00,13,27670
2020-01-04 06:30:00+00:00,14,28105
2020-01-04 07:00:00+00:00,15,29190
2020-01-04 07:30:00+00:00,16,29375
2020-01-04 08:00:00+00:00,17,30124
2020-01-04 08:30:00+00:00,18,30683
2020-01-04 09:00:00+00:00,19,31617
2020-01-04 09:30:00+00:00,20,32728
2020-01-04 10:00:00+00:00,21,33685
2020-01-04 10:30:00+00:00,22,33979
2020-01-04 11:00:00+00:00,23,33948
2020-01-04 11:30:00+00:00,24,33897
2020-01-04 12:00:00+00:00,25,33819
2020-01-04 12:30:00+00:00,26,33749
2020-01-04 13:00:00+00:00,27,33515
2020-01-04 13:30:00+00:00,28,33315
2020-01-04 14:00:00+00:00,29,33359
2020-01-04 14:30:00+00:00,30,33848
2020-01-04 15:00:00+00:00,31,34485
2020-01-04 15:30:00+00:00,32,35264
2020-01-04 16:00:00+00:00,33,35854
2020-01-04 16:30:00+00:00,34,36003
2020-01-04 17:00:00+00:00,35,35842
2020-01-04 17:30:00+00:00,36,35656
2020-01-04 18:00:00+00:00,37,35557
2020-01-04 18:30:00+00:00,38,35285
2020-01-04 19:00:00+00:00,39,34882
2020-01-04 19:30:00+00:00,40,34589
2020-01-04 20:00:00+00:00,41,33772
2020-01-04 20:30:00+00:00,42,32632
2020-01-04 21:00:00+00:00,43,31684
2020-01-04 21:30:00+00:00,44,30738
2020-01-04 22:00:00+00:00,45,29471
2020-01-04 22:30:00+00:00,46,27978
2020-01-04 23:00:00+00:00,47,26228
2020-01-04 23:30:00+00:00,48,25488
2020-01-05 00:00:00+00:00,1,24243
2020-01-05 00:30:00+00:00,2,24343
2020-01-05 01:00:00+00:00,3,24428
2020-01-05 01:30:00+00:00,4,24483
2020-01-05 02:00:00+00:00,5,24517
2020-01-05 02:30:00+00:00,6,24594
2020-01-05 03:00:00+00:00,7,24721
2020-01-05 03:30:00+00:00,8,24894
2020-01-05 04:00:00+00:00,9,25051
2020-01-05 04:30:00+00:00,10,25174
2020-01-05 05:00:00+00:00,11,25406
2020-01-05 05:30:00+00:00,12,25678
2020-01-05 06:00:00+00:00,13,25956
2020-01-05 06:30:00+00:00,14,26443
2020-01-05 07:00:00+00:00,15,27391
2020-01-05 07:30:00+00:00,16,28419
2020-01-05 08:00:00+00:00,17,29368
2020-01-05 08:30:00+00:00,18,29915
2020-01-05 09:00:00+00:00,19,30255
2020-01-05 09:30:00+00:00,20,30579
2020-01-05 10:00:00+00:00,21,30855
2020-01-05 10:30:00+00:00,22,31301
2020-01-05 11:00:00+00:00,23,32607
2020-01-05 11:30:00+00:00,24,33763
2020-01-05 12:00:00+00:00,25,33664
2020-01-05 12:30:00+00:00,26,33660
2020-01-05 13:00:00+00:00,27,33630
2020-01-05 13:30:00+00:00,28,33593
2020-01-05 14:00:00+00:00,29,33500
2020-01-05 14:30:00+00:00,30,33710
2020-01-05 15:00:00+00:00,31,33999
2020-01-05 15:30:00+00:00,32,34191
2020-01-05 16:00:00+00:00,33,35288
2020-01-05 16:30:00+00:00,34,35408
2020-01-05 17:00:00+00:00,35,35592
2020-01-05 17:30:00+00:00,36,35657
2020-01-05 18:00:00+00:00,37,35620
2020-01-05 18:30:00+00:00,38,35722
2020-01-05 19:00:00+00:00,39,35424
2020-01-05 19:30:00+00:00,40,34876
2020-01-05 20:00:00+00:00,41,33783
2020-01-05 20:30:00+00:00,42,32495
2020-01-05 21:00:00+00:00,43,30433
2020-01-05 21:30:00+00:00,44,29345
2020-01-05 22:00:00+00:00,45,28704
2020-01-05 22:30:00+00:00,46,27616
2020-01-05 23:00:00+00:00,47,27015
2020-01-05 23:30:00+00:00,48,27477
2020-01-06 00:00:00+00:00,1,26984
2020-01-06 00:30:00+00:00,2,27096
2020-01-06 01:00:00+00:00,3,27202
2020-01-06 01:30:00+00:00,4,27318
2020-01-06 02:00:00+00:00,5,27442
2020-01-06 02:30:00+00:00,6,27603
2020-01-06 03:00:00+00:00,7,27809
2020-01-06 03:30:00+00:00,8,28061
2020-01-06 04:00:00+00:00,9,28313
2020-01-06 04:30:00+00:00,10,28576
2020-01-06 05:00:00+00:00,11,28887
2020-01-06 05:30:00+00:00,12,29651
2020-01-06 06:00:00+00:00,13,31963
2020-01-06 06:30:00+00:00,14,35415
2020-01-06 07:00:00+00:00,15,38491
2020-01-06 07:30:00+00:00,16,39750
2020-01-06 08:00:00+00:00,17,40311
2020-01-06 08:30:00+00:00,18,40797
2020-01-06 09:00:00+00:00,19,41310
2020-01-06 09:30:00+00:00,20,41701
