local_datetime,settlementPeriod,imbalancePriceAmountGBP
2020-01-01 00:00:00+00:00,1,50.9
2020-01-01 00:30:00+00:00,2,51
2020-01-01 01:00:00+00:00,3,29.37006
2020-01-01 01:30:00+00:00,4,28.52
2020-01-01 02:00:00+00:00,5,25.78
2020-01-01 02:30:00+00:00,6,24.77018
2020-01-01 03:00:00+00:00,7,50.5
2020-01-01 03:30:00+00:00,8,50
2020-01-01 04:00:00+00:00,9,23.93006
2020-01-01 04:30:00+00:00,10,23.93006
2020-01-01 05:00:00+00:00,11,6
2020-01-01 05:30:00+00:00,12,6
2020-01-01 06:00:00+00:00,13,23.82
2020-01-01 06:30:00+00:00,14,31.69
2020-01-01 07:00:00+00:00,15,23.98
2020-01-01 07:30:00+00:00,16,52
2020-01-01 08:00:00+00:00,17,52
2020-01-01 08:30:00+00:00,18,52
2020-01-01 09:00:00+00:00,19,52
2020-01-01 09:30:00+00:00,20,51
2020-01-01 10:00:00+00:00,21,51.9
2020-01-01 10:30:00+00:00,22,51
2020-01-01 11:00:00+00:00,23,25.59
2020-01-01 11:30:00+00:00,24,7.5
2020-01-01 12:00:00+00:00,25,51.9
2020-01-01 12:30:00+00:00,26,51.9
2020-01-01 13:00:00+00:00,27,51
2020-01-01 13:30:00+00:00,28,51
2020-01-01 14:00:00+00:00,29,50.75
2020-01-01 14:30:00+00:00,30,7.5
2020-01-01 15:00:00+00:00,31,7.5
2020-01-01 15:30:00+00:00,32,50.8
2020-01-01 16:00:00+00:00,33,52
2020-01-01 16:30:00+00:00,34,50.8
2020-01-01 17:00:00+00:00,35,52
2020-01-01 17:30:00+00:00,36,52
2020-01-01 18:00:00+00:00,37,51.9
2020-01-01 18:30:00+00:00,38,51.5
2020-01-01 19:00:00+00:00,39,49.95
2020-01-01 19:30:00+00:00,40,49.75
2020-01-01 20:00:00+00:00,41,49.75
2020-01-01 20:30:00+00:00,42,51.5
2020-01-01 21:00:00+00:00,43,49.45
2020-01-01 21:30:00+00:00,44,51.5
2020-01-01 22:00:00+00:00,45,51.5
2020-01-01 22:30:00+00:00,46,49.45
2020-01-01 23:00:00+00:00,47,50.05
2020-01-01 23:30:00+00:00,48,49.95
2020-01-02 00:00:00+00:00,1,2.5
2020-01-02 00:30:00+00:00,2,2.5
2020-01-02 01:00:00+00:00,3,49
2020-01-02 01:30:00+00:00,4,2.5
2020-01-02 02:00:00+00:00,5,2.5
2020-01-02 02:30:00+00:00,6,8
2020-01-02 03:00:00+00:00,7,25.85
2020-01-02 03:30:00+00:00,8,25.85
2020-01-02 04:00:00+00:00,9,49
2020-01-02 04:30:00+00:00,10,27.74
2020-01-02 05:00:00+00:00,11,31.85
2020-01-02 05:30:00+00:00,12,2.5
2020-01-02 06:00:00+00:00,13,7.5
2020-01-02 06:30:00+00:00,14,0.5
2020-01-02 07:00:00+00:00,15,42.12
2020-01-02 07:30:00+00:00,16,7.5
2020-01-02 08:00:00+00:00,17,6
2020-01-02 08:30:00+00:00,18,7.55
2020-01-02 09:00:00+00:00,19,6
2020-01-02 09:30:00+00:00,20,6
2020-01-02 10:00:00+00:00,21,6
2020-01-02 10:30:00+00:00,22,7.8
2020-01-02 11:00:00+00:00,23,7.8
2020-01-02 11:30:00+00:00,24,7.8
2020-01-02 12:00:00+00:00,25,50
2020-01-02 12:30:00+00:00,26,50
2020-01-02 13:00:00+00:00,27,52
2020-01-02 13:30:00+00:00,28,50.5
2020-01-02 14:00:00+00:00,29,50
2020-01-02 14:30:00+00:00,30,8.8
2020-01-02 15:00:00+00:00,31,50.5
2020-01-02 15:30:00+00:00,32,50
2020-01-02 16:00:00+00:00,33,8.8
2020-01-02 16:30:00+00:00,34,8.8
2020-01-02 17:00:00+00:00,35,8.9
2020-01-02 17:30:00+00:00,36,8.9
2020-01-02 18:00:00+00:00,37,9.2
2020-01-02 18:30:00+00:00,38,8.9
2020-01-02 19:00:00+00:00,39,8.9
2020-01-02 19:30:00+00:00,40,9
2020-01-02 20:00:00+00:00,41,9
2020-01-02 20:30:00+00:00,42,8.9
2020-01-02 21:00:00+00:00,43,9
2020-01-02 21:30:00+00:00,44,20.99
2020-01-02 22:00:00+00:00,45,6
2020-01-02 22:30:00+00:00,46,2.5
2020-01-02 23:00:00+00:00,47,15.83
2020-01-02 23:30:00+00:00,48,2.5
2020-01-03 00:00:00+00:00,1,2.5
2020-01-03 00:30:00+00:00,2,17.15
2020-01-03 01:00:00+00:00,3,51
2020-01-03 01:30:00+00:00,4,51
2020-01-03 02:00:00+00:00,5,50
2020-01-03 02:30:00+00:00,6,50
2020-01-03 03:00:00+00:00,7,2.5
2020-01-03 03:30:00+00:00,8,2.5
2020-01-03 04:00:00+00:00,9,7.13
2020-01-03 04:30:00+00:00,10,8
2020-01-03 05:00:00+00:00,11,20.99
2020-01-03 05:30:00+00:00,12,50
2020-01-03 06:00:00+00:00,13,24.65
2020-01-03 06:30:00+00:00,14,2.5
2020-01-03 07:00:00+00:00,15,-3
2020-01-03 07:30:00+00:00,16,0.2
2020-01-03 08:00:00+00:00,17,6
2020-01-03 08:30:00+00:00,18,6
2020-01-03 09:00:00+00:00,19,49.2
2020-01-03 09:30:00+00:00,20,9
2020-01-03 10:00:00+00:00,21,53.5
2020-01-03 10:30:00+00:00,22,49.2
2020-01-03 11:00:00+00:00,23,49.2
2020-01-03 11:30:00+00:00,24,9
2020-01-03 12:00:00+00:00,25,9
2020-01-03 12:30:00+00:00,26,9
2020-01-03 13:00:00+00:00,27,9
2020-01-03 13:30:00+00:00,28,9
2020-01-03 14:00:00+00:00,29,9
2020-01-03 14:30:00+00:00,30,9
2020-01-03 15:00:00+00:00,31,9
2020-01-03 15:30:00+00:00,32,9
2020-01-03 16:00:00+00:00,33,9
2020-01-03 16:30:00+00:00,34,52.5
2020-01-03 17:00:00+00:00,35,55.5
2020-01-03 17:30:00+00:00,36,55.5
2020-01-03 18:00:00+00:00,37,52
2020-01-03 18:30:00+00:00,38,10
2020-01-03 19:00:00+00:00,39,9.6
2020-01-03 19:30:00+00:00,40,9.8
2020-01-03 20:00:00+00:00,41,9.6
2020-01-03 20:30:00+00:00,42,9.6
2020-01-03 21:00:00+00:00,43,49.5
2020-01-03 21:30:00+00:00,44,9.6
2020-01-03 22:00:00+00:00,45,40
2020-01-03 22:30:00+00:00,46,40
2020-01-03 23:00:00+00:00,47,49.49
2020-01-03 23:30:00+00:00,48,51
2020-01-04 00:00:00+00:00,1,2.5
2020-01-04 00:30:00+00:00,2,49.49
2020-01-04 01:00:00+00:00,3,2.5
2020-01-04 01:30:00+00:00,4,0
2020-01-04 02:00:00+00:00,5,2.5
2020-01-04 02:30:00+00:00,6,2.5
2020-01-04 03:00:00+00:00,7,2.5
2020-01-04 03:30:00+00:00,8,2.5
2020-01-04 04:00:00+00:00,9,5
2020-01-04 04:30:00+00:00,10,2.5
2020-01-04 05:00:00+00:00,11,0
2020-01-04 05:30:00+00:00,12,2.5
2020-01-04 06:00:00+00:00,13,0
2020-01-04 06:30:00+00:00,14,2.5
2020-01-04 07:00:00+00:00,15,0
2020-01-04 07:30:00+00:00,16,5
2020-01-04 08:00:00+00:00,17,6
2020-01-04 08:30:00+00:00,18,9.6
2020-01-04 09:00:00+00:00,19,6
2020-01-04 09:30:00+00:00,20,7
2020-01-04 10:00:00+00:00,21,7.75
2020-01-04 10:30:00+00:00,22,49.45
2020-01-04 11:00:00+00:00,23,6
2020-01-04 11:30:00+00:00,24,6
2020-01-04 12:00:00+00:00,25,6
2020-01-04 12:30:00+00:00,26,7.75
2020-01-04 13:00:00+00:00,27,7.75
2020-01-04 13:30:00+00:00,28,7.5
2020-01-04 14:00:00+00:00,29,6.75
2020-01-04 14:30:00+00:00,30,49.9
2020-01-04 15:00:00+00:00,31,49.9
2020-01-04 15:30:00+00:00,32,52
2020-01-04 16:00:00+00:00,33,80
2020-01-04 16:30:00+00:00,34,150
2020-01-04 17:00:00+00:00,35,150
2020-01-04 17:30:00+00:00,36,150
2020-01-04 18:00:00+00:00,37,55.5
2020-01-04 18:30:00+00:00,38,55.5
2020-01-04 19:00:00+00:00,39,55.5
2020-01-04 19:30:00+00:00,40,55.5
2020-01-04 20:00:00+00:00,41,49.9
2020-01-04 20:30:00+00:00,42,49.9
2020-01-04 21:00:00+00:00,43,9.65
2020-01-04 21:30:00+00:00,44,8
2020-01-04 22:00:00+00:00,45,8
2020-01-04 22:30:00+00:00,46,9
2020-01-04 23:00:00+00:00,47,24.17
2020-01-04 23:30:00+00:00,48,23.48
2020-01-05 00:00:00+00:00,1,21.88
2020-01-05 00:30:00+00:00,2,22.66
2020-01-05 01:00:00+00:00,3,24.71
2020-01-05 01:30:00+00:00,4,21.96
2020-01-05 02:00:00+00:00,5,48.99
2020-01-05 02:30:00+00:00,6,48.98
2020-01-05 03:00:00+00:00,7,48.98
2020-01-05 03:30:00+00:00,8,2.5
2020-01-05 04:00:00+00:00,9,2.5
2020-01-05 04:30:00+00:00,10,5
2020-01-05 05:00:00+00:00,11,5
2020-01-05 05:30:00+00:00,12,19.83
2020-01-05 06:00:00+00:00,13,48.5
2020-01-05 06:30:00+00:00,14,48.98
2020-01-05 07:00:00+00:00,15,2.5
2020-01-05 07:30:00+00:00,16,0
2020-01-05 08:00:00+00:00,17,2.5
2020-01-05 08:30:00+00:00,18,2.5
2020-01-05 09:00:00+00:00,19,2.5
2020-01-05 09:30:00+00:00,20,48.94
2020-01-05 10:00:00+00:00,21,29.4
2020-01-05 10:30:00+00:00,22,48.94
2020-01-05 11:00:00+00:00,23,48.94
2020-01-05 11:30:00+00:00,24,5.1
2020-01-05 12:00:00+00:00,25,8
2020-01-05 12:30:00+00:00,26,48.94
2020-01-05 13:00:00+00:00,27,48.94
2020-01-05 13:30:00+00:00,28,48.95
2020-01-05 14:00:00+00:00,29,49
2020-01-05 14:30:00+00:00,30,49
2020-01-05 15:00:00+00:00,31,48.94
2020-01-05 15:30:00+00:00,32,50.45
2020-01-05 16:00:00+00:00,33,51
2020-01-05 16:30:00+00:00,34,50.5
2020-01-05 17:00:00+00:00,35,52.7
2020-01-05 17:30:00+00:00,36,51
2020-01-05 18:00:00+00:00,37,51
2020-01-05 18:30:00+00:00,38,48.95
2020-01-05 19:00:00+00:00,39,9.6
2020-01-05 19:30:00+00:00,40,8
2020-01-05 20:00:00+00:00,41,8
2020-01-05 20:30:00+00:00,42,8
2020-01-05 21:00:00+00:00,43,9.6
2020-01-05 21:30:00+00:00,44,5.1
2020-01-05 22:00:00+00:00,45,5
2020-01-05 22:30:00+00:00,46,2.5
2020-01-05 23:00:00+00:00,47,48.88
2020-01-05 23:30:00+00:00,48,0
2020-01-06 00:00:00+00:00,1,4.5
2020-01-06 00:30:00+00:00,2,19.39962
2020-01-06 01:00:00+00:00,3,44.62
2020-01-06 01:30:00+00:00,4,31.4
2020-01-06 02:00:00+00:00,5,24.81
2020-01-06 02:30:00+00:00,6,22.23
2020-01-06 03:00:00+00:00,7,21.36
2020-01-06 03:30:00+00:00,8,14.6
2020-01-06 04:00:00+00:00,9,17.6
2020-01-06 04:30:00+00:00,10,17.1
2020-01-06 05:00:00+00:00,11,0
2020-01-06 05:30:00+00:00,12,0
2020-01-06 06:00:00+00:00,13,2.5
2020-01-06 06:30:00+00:00,14,48.5
2020-01-06 07:00:00+00:00,15,5
2020-01-06 07:30:00+00:00,16,5.1
2020-01-06 08:00:00+00:00,17,50
2020-01-06 08:30:00+00:00,18,10
2020-01-06 09:00:00+00:00,19,50
2020-01-06 09:30:00+00:00,20,52.3
2020-01-06 10:00:00+00:00,21,49
2020-01-06 10:30:00+00:00,22,49
2020-01-06 11:00:00+00:00,23,32.85
2020-01-06 11:30:00+00:00,24,48.94
2020-01-06 12:00:00+00:00,25,11
2020-01-06 12:30:00+00:00,26,48.94
2020-01-06 13:00:00+00:00,27,48.94
2020-01-06 13:30:00+00:00,28,48.94
2020-01-06 14:00:00+00:00,29,53
2020-01-06 14:30:00+00:00,30,53
2020-01-06 15:00:00+00:00,31,53
2020-01-06 15:30:00+00:00,32,57.5
2020-01-06 16:00:00+00:00,33,53
2020-01-06 16:30:00+00:00,34,56.5
2020-01-06 17:00:00+00:00,35,56.5
2020-01-06 17:30:00+00:00,36,56.5
2020-01-06 18:00:00+00:00,37,56.5
2020-01-06 18:30:00+00:00,38,56.5
2020-01-06 19:00:00+00:00,39,52.5
2020-01-06 19:30:00+00:00,40,45
2020-01-06 20:00:00+00:00,41,11.35
2020-01-06 20:30:00+00:00,42,49.75
2020-01-06 21:00:00+00:00,43,51
2020-01-06 21:30:00+00:00,44,51
2020-01-06 22:00:00+00:00,45,49.99
2020-01-06 22:30:00+00:00,46,18.1472
