local_datetime,settlementPeriod,imbalanceQuantityMAW
2020-01-01 00:00:00+00:00,1,54.3365
2020-01-01 00:30:00+00:00,2,194.7133
2020-01-01 01:00:00+00:00,3,-71.4292
2020-01-01 01:30:00+00:00,4,-122.2322
2020-01-01 02:00:00+00:00,5,-90.9042
2020-01-01 02:30:00+00:00,6,-140.4158
2020-01-01 03:00:00+00:00,7,155.8685
2020-01-01 03:30:00+00:00,8,34.4103
2020-01-01 04:00:00+00:00,9,-45.8102
2020-01-01 04:30:00+00:00,10,-102.3296
2020-01-01 05:00:00+00:00,11,-321.812
2020-01-01 05:30:00+00:00,12,-225.6682
2020-01-01 06:00:00+00:00,13,-28.0957
2020-01-01 06:30:00+00:00,14,145.2502
2020-01-01 07:00:00+00:00,15,-7.6845
2020-01-01 07:30:00+00:00,16,106.3583
2020-01-01 08:00:00+00:00,17,112.3367
2020-01-01 08:30:00+00:00,18,175.8663
2020-01-01 09:00:00+00:00,19,188.995
2020-01-01 09:30:00+00:00,20,2.0799
2020-01-01 10:00:00+00:00,21,141.0951
2020-01-01 10:30:00+00:00,22,44.7275
2020-01-01 11:00:00+00:00,23,-7.0206
2020-01-01 11:30:00+00:00,24,-86.2058
2020-01-01 12:00:00+00:00,25,314.2309
2020-01-01 12:30:00+00:00,26,348.9
2020-01-01 13:00:00+00:00,27,434.475
2020-01-01 13:30:00+00:00,28,268.7249
2020-01-01 14:00:00+00:00,29,86.4905
2020-01-01 14:30:00+00:00,30,-140.0646
2020-01-01 15:00:00+00:00,31,-14.0069
2020-01-01 15:30:00+00:00,32,166.0096
2020-01-01 16:00:00+00:00,33,392.8793
2020-01-01 16:30:00+00:00,34,257.5027
2020-01-01 17:00:00+00:00,35,308.4018
2020-01-01 17:30:00+00:00,36,247.5229
2020-01-01 18:00:00+00:00,37,428.5103
2020-01-01 18:30:00+00:00,38,235.6168
2020-01-01 19:00:00+00:00,39,269.9905
2020-01-01 19:30:00+00:00,40,59.1689
2020-01-01 20:00:00+00:00,41,77.1037
2020-01-01 20:30:00+00:00,42,100.8333
2020-01-01 21:00:00+00:00,43,366.2125
2020-01-01 21:30:00+00:00,44,248.4147
2020-01-01 22:00:00+00:00,45,336.7556
2020-01-01 22:30:00+00:00,46,216.5072
2020-01-01 23:00:00+00:00,47,429.1559
2020-01-01 23:30:00+00:00,48,173.5351
2020-01-02 00:00:00+00:00,1,-258.5126
2020-01-02 00:30:00+00:00,2,-106.8573
2020-01-02 01:00:00+00:00,3,57.3796
2020-01-02 01:30:00+00:00,4,-172.1773
2020-01-02 02:00:00+00:00,5,-61.6975
2020-01-02 02:30:00+00:00,6,-137.0749
2020-01-02 03:00:00+00:00,7,27.475
2020-01-02 03:30:00+00:00,8,96.0919
2020-01-02 04:00:00+00:00,9,333.7146
2020-01-02 04:30:00+00:00,10,165.6429
2020-01-02 05:00:00+00:00,11,130.0467
2020-01-02 05:30:00+00:00,12,-40.6164
2020-01-02 06:00:00+00:00,13,-230.2139
2020-01-02 06:30:00+00:00,14,-569.196
2020-01-02 07:00:00+00:00,15,40.1576
2020-01-02 07:30:00+00:00,16,-346.209
2020-01-02 08:00:00+00:00,17,-727.243
2020-01-02 08:30:00+00:00,18,-175.9038
2020-01-02 09:00:00+00:00,19,-614.7167
2020-01-02 09:30:00+00:00,20,-462.9466
2020-01-02 10:00:00+00:00,21,-294.7621
2020-01-02 10:30:00+00:00,22,-94.9603
2020-01-02 11:00:00+00:00,23,-148.7915
2020-01-02 11:30:00+00:00,24,-86.75
2020-01-02 12:00:00+00:00,25,12.7654
